setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
MAT,Animist's Might,uncommon,{2}{G},G,Sorcery,0,0,0,1,0,1,0,0,This spell costs {2} less to cast if it targets a legendary creature you control.\nTarget creature you control deals damage equal to twice its power to target creature or planeswalker you don't control.
MAT,Arni Metalbrow,rare,{2}{R},R,Creature,"Human, Berserker",3,3,1,1,0,0,0,"Whenever a creature you control attacks or a creature enters the battlefield under your control attacking, you may pay {1}{R}. If you do, you may put a creature card with mana value less than that creature's mana value from your hand onto the battlefield tapped and attacking."
MAT,Ayara's Oathsworn,rare,{1}{B},B,Creature,"Human, Knight",2,2,1,1,0,0,0,"Menace\nWhenever Ayara's Oathsworn deals combat damage to a player, if it has fewer than four +1/+1 counters on it, put a +1/+1 counter on it. Then if it has exactly four +1/+1 counters on it, search your library for a card, put it into your hand, then shuffle."
MAT,Blot Out,uncommon,{2}{B},B,Instant,0,0,0,1,0,1,0,0,Target opponent exiles a creature or planeswalker they control with the greatest mana value among creatures and planeswalkers they control.
MAT,"Calix, Guided by Fate",mythic,{1}{G}{W},"G, W","Enchantment, Creature","Human, Druid",2,2,0,0,0,0,0,"Constellation — Whenever Calix, Guided by Fate or another enchantment enters the battlefield under your control, put a +1/+1 counter on target creature.\nWhenever Calix or an enchanted creature you control deals combat damage to a player, you may create a token that's a copy of a nonlegendary enchantment you control. Do this only once each turn."
MAT,Campus Renovation,uncommon,{3}{R}{W},"R, W",Sorcery,0,0,0,1,0,1,0,0,"Return up to one target artifact or enchantment card from your graveyard to the battlefield. Exile the top two cards of your library. Until the end of your next turn, you may play those cards."
MAT,Coppercoat Vanguard,uncommon,{1}{W},W,Creature,"Human, Soldier",2,2,4,0,4,0,1,"Each other Human you control gets +1/+0 and has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)"
MAT,Cosmic Rebirth,uncommon,{1}{G}{W},"G, W",Instant,0,0,0,0,0,0,0,0,"Choose target permanent card in your graveyard. If it has mana value 3 or less, you may put it onto the battlefield. If you don't put it onto the battlefield, put it into your hand.\nYou gain 3 life."
MAT,"Danitha, New Benalia's Light",rare,{1}{G}{W},"G, W",Creature,"Human, Knight",2,2,1,1,0,0,0,"Vigilance, trample, lifelink\nOnce during each of your turns, you may cast an Aura or Equipment spell from your graveyard."
MAT,Death-Rattle Oni,uncommon,{6}{B},B,Creature,"Demon, Spirit",5,4,3,3,0,0,1,"Flash\nThis spell costs {2} less to cast for each creature that died this turn.\nWhen Death-Rattle Oni enters the battlefield, destroy all other creatures that were dealt damage this turn."
MAT,Deification,rare,{1}{W},W,Enchantment,0,0,0,0,0,0,0,0,"As Deification enters the battlefield, choose a planeswalker type.\nPlaneswalkers you control of the chosen type have hexproof.\nAs long as you control a creature, if damage dealt to a planeswalker you control of the chosen type would result in all loyalty counters on it being removed, instead all but one of those counters are removed."
MAT,Drannith Ruins,rare,0,0,Land,0,0,0,0,0,0,0,0,"{T}: Add {C}.\n{2}, {T}: Put two +1/+1 counters on target non-Human creature that entered the battlefield this turn."
MAT,Feast of the Victorious Dead,uncommon,{W}{B},"B, W",Enchantment,0,0,0,2,0,2,0,0,"At the beginning of your end step, if one or more creatures died this turn, you gain that much life and distribute that many +1/+1 counters among creatures you control."
MAT,Filter Out,uncommon,{1}{U}{U},U,Instant,0,0,0,2,2,0,0,1,"Return all noncreature, nonland permanents to their owners' hands."
MAT,Gold-Forged Thopteryx,uncommon,{W}{U},"U, W","Artifact, Creature","Dinosaur, Thopter",1,3,3,3,0,0,1,"Flying, lifelink\nEach legendary permanent you control has ward {2}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)"
MAT,Harnessed Snubhorn,uncommon,{3}{W},W,Creature,Dinosaur,2,5,2,2,0,0,0,"Vigilance\nWhenever Harnessed Snubhorn deals combat damage to a player, return target artifact or enchantment card from your graveyard to the battlefield."
MAT,"Jirina, Dauntless General",rare,{W}{B},"B, W",Creature,"Human, Soldier",2,2,0,0,0,0,0,"When Jirina, Dauntless General enters the battlefield, exile target player's graveyard.\nSacrifice Jirina: Humans you control gain hexproof and indestructible until end of turn."
MAT,"Jolrael, Voice of Zhalfir",rare,{2}{G}{U},"G, U",Creature,"Human, Druid",3,3,0,0,0,0,0,"At the beginning of combat on your turn, up to one target land you control becomes an X/X green and blue Bird creature with flying and haste until end of turn, where X is the number of cards in your hand. It's still a land.\nWhenever a land creature you control deals combat damage to a player, draw a card."
MAT,"Karn, Legacy Reforged",mythic,{5},0,"Artifact, Creature",Golem,0,0,0,0,0,0,0,"Karn, Legacy Reforged's power and toughness are each equal to the greatest mana value among artifacts you control.\nAt the beginning of your upkeep, add {C} for each artifact you control. This mana can't be spent to cast nonartifact spells. Until end of turn, you don't lose this mana as steps and phases end."
MAT,"Kiora, Sovereign of the Deep",mythic,{3}{G}{U},"G, U",Creature,"Merfolk, Noble",4,5,0,0,0,0,0,"Vigilance, ward {3}\nWhenever you cast a Kraken, Leviathan, Octopus, or Serpent spell from your hand, look at the top X cards of your library, where X is that spell's mana value. You may cast a spell with mana value less than X from among them without paying its mana cost. Put the rest on the bottom of your library in a random order."
MAT,Kolaghan Warmonger,uncommon,{2}{R},R,Creature,"Ogre, Warrior",3,2,1,1,0,0,1,"Haste\nWhenever Kolaghan Warmonger attacks, look at the top six cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
MAT,Leyline Immersion,rare,{3}{G},G,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant legendary creature\nEnchanted creature has ward {2} and ""{T}: Add five mana in any combination of colors. Spend this mana only to cast spells."""
MAT,Markov Baron,uncommon,{2}{B},B,Creature,"Vampire, Noble",2,2,3,3,0,0,1,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nLifelink\nOther Vampires you control get +1/+1.\nMadness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
MAT,Metropolis Reformer,rare,{2}{W},W,Creature,"Angel, Cleric",2,3,0,0,0,0,0,"Flying, vigilance\nYou have hexproof.\nWhenever Metropolis Reformer is dealt damage, you gain that much life."
MAT,"Nahiri, Forged in Fury",mythic,{4}{R}{W},"R, W",Creature,"Kor, Artificer",5,4,0,0,0,0,0,"Affinity for Equipment (This spell costs {1} less to cast for each Equipment you control.)\nWhenever an equipped creature you control attacks, exile the top card of your library. You may play that card this turn. You may cast Equipment spells this way without paying their mana costs."
MAT,Nahiri's Resolve,rare,{3}{R}{W},"R, W",Enchantment,0,0,0,0,0,0,0,0,"Creatures you control get +1/+0 and have haste.\nAt the beginning of your end step, exile any number of nontoken artifacts and/or creatures you control. Return those cards to the battlefield under their owner's control at the beginning of your next upkeep."
MAT,"Narset, Enlightened Exile",mythic,{1}{U}{R}{W},"R, U, W",Creature,"Human, Monk",3,4,0,0,0,0,0,"Creatures you control have prowess.\nWhenever Narset, Enlightened Exile attacks, exile target noncreature, nonland card with mana value less than Narset's power from a graveyard and copy it. You may cast the copy without paying its mana cost."
MAT,"Nashi, Moon's Legacy",rare,{B}{G}{U},"B, G, U",Creature,"Rat, Shaman",3,4,1,1,0,0,0,"Menace, ward {1}\nWhenever Nashi, Moon's Legacy attacks, exile up to one target legendary or Rat card from your graveyard and copy it. You may cast the copy. (You still pay its costs. A copy of a permanent spell becomes a token.)"
MAT,"Nissa, Resurgent Animist",mythic,{2}{G},G,Creature,"Elf, Scout",3,3,0,0,0,0,0,"Landfall — Whenever a land enters the battlefield under your control, add one mana of any color. Then if this is the second time this ability has resolved this turn, reveal cards from the top of your library until you reveal an Elf or Elemental card. Put that card into your hand and the rest on the bottom of your library in a random order."
MAT,"Niv-Mizzet, Supreme",rare,{W}{U}{B}{R}{G},"B, G, R, U, W",Creature,"Dragon, Avatar",5,5,0,0,0,0,0,"Flying, hexproof from monocolored\nEach instant and sorcery card in your graveyard that's exactly two colors has jump-start. (You may cast that card from your graveyard by discarding a card in addition to paying its other costs. Then exile it.)"
MAT,"Ob Nixilis, Captive Kingpin",mythic,{2}{B}{R},"B, R",Creature,Demon,4,3,0,0,0,0,0,"Flying, trample\nWhenever one or more opponents each lose exactly 1 life, put a +1/+1 counter on Ob Nixilis, Captive Kingpin. Exile the top card of your library. Until your next end step, you may play that card."
MAT,Open the Way,rare,{X}{G}{G},G,Sorcery,0,0,0,1,1,0,0,0,X can't be greater than the number of players in the game.\nReveal cards from the top of your library until you reveal X land cards. Put those land cards onto the battlefield tapped and the rest on the bottom of your library in a random order.
MAT,"Pia Nalaar, Consul of Revival",rare,{R}{W},"R, W",Creature,"Human, Artificer",2,3,0,0,0,0,0,"Thopters you control have haste.\nWhenever you play a land from exile or cast a spell from exile, create a 1/1 colorless Thopter artifact creature token with flying."
MAT,Plargg and Nassari,rare,{3}{R}{R},R,Creature,"Orc, Efreet",5,4,0,0,0,0,0,"At the beginning of your upkeep, each player exiles cards from the top of their library until they exile a nonland card. An opponent chooses a nonland card exiled this way. You may cast up to two spells from among the other cards exiled this way without paying their mana costs."
MAT,Rebuild the City,rare,{3}{B}{R}{G},"B, G, R",Sorcery,0,0,0,0,0,0,0,0,"Choose target land. Create three tokens that are copies of it, except they're 3/3 creatures in addition to their other types and they have vigilance and menace. (They're affected by summoning sickness.)"
MAT,Reckless Handling,uncommon,{1}{R},R,Sorcery,0,0,0,2,1,1,0,1,"Search your library for an artifact card, reveal it, put it into your hand, shuffle, then discard a card at random. If an artifact card was discarded this way, Reckless Handling deals 2 damage to each opponent."
MAT,"Rocco, Street Chef",rare,{R}{G}{W},"G, R, W",Creature,"Elf, Druid",2,4,0,0,0,0,0,"At the beginning of your end step, each player exiles the top card of their library. Until your next end step, each player may play the card they exiled this way.\nWhenever a player plays a land from exile or casts a spell from exile, you put a +1/+1 counter on target creature and create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
MAT,"Samut, Vizier of Naktamun",mythic,{1}{R}{G},"G, R",Creature,"Human, Warrior, Cleric",2,3,0,0,0,0,0,"First strike, vigilance, haste\nWhenever a creature you control deals combat damage to a player, if that creature entered the battlefield this turn, draw a card."
MAT,"Sarkhan, Soul Aflame",mythic,{1}{U}{R},"R, U",Creature,"Human, Shaman",2,4,0,0,0,0,0,"Dragon spells you cast cost {1} less to cast.\nWhenever a Dragon enters the battlefield under your control, you may have Sarkhan, Soul Aflame become a copy of it until end of turn, except its name is Sarkhan, Soul Aflame and it's legendary in addition to its other types."
MAT,"Sigarda, Font of Blessings",rare,{2}{G}{W},"G, W",Creature,Angel,4,4,0,0,0,0,0,Flying\nOther permanents you control have hexproof.\nYou may look at the top card of your library any time.\nYou may cast Angel spells and Human spells from the top of your library.
MAT,Spark Rupture,rare,{2}{W},W,Enchantment,0,0,0,0,0,0,0,0,"When Spark Rupture enters the battlefield, draw a card.\nEach planeswalker with one or more loyalty counters on it loses all abilities and is a creature with power and toughness each equal to the number of loyalty counters on it."
MAT,"Tazri, Stalwart Survivor",rare,{2}{W},"B, G, R, U, W",Creature,"Human, Warrior",3,3,0,0,0,0,0,"Each creature you control has ""{T}: Add one mana of any of this creature's colors. Spend this mana only to activate an ability of a creature. Activate only if this creature has another activated ability.""\n{W}{U}{B}{R}{G}, {T}: Mill five cards. Put all creature cards with activated abilities that aren't mana abilities from among the milled cards into your hand."
MAT,The Kenriths' Royal Funeral,rare,{2}{W}{B},"B, W",Enchantment,0,0,0,1,1,0,0,0,"When The Kenriths' Royal Funeral enters the battlefield, exile up to two target legendary creature cards from your graveyard. You draw X cards and you lose X life, where X is the greatest mana value among cards exiled this way.\nLegendary spells you cast cost {1} less to cast for each card exiled with The Kenriths' Royal Funeral."
MAT,Tolarian Contempt,uncommon,{3}{U}{U},U,Enchantment,0,0,0,3,3,0,0,1,"When Tolarian Contempt enters the battlefield, put a rejection counter on each creature your opponents control.\nAt the beginning of your end step, for each opponent, choose up to one target creature they control with a rejection counter on it. That creature's owner puts it on the top or bottom of their library."
MAT,Training Grounds,rare,{U},U,Enchantment,0,0,0,0,0,0,0,0,Activated abilities of creatures you control cost {2} less to activate. This effect can't reduce the mana in that cost to less than one mana.
MAT,Tranquil Frillback,rare,{2}{G},G,Creature,Dinosaur,3,3,1,1,0,0,1,"When Tranquil Frillback enters the battlefield, you may pay {G} up to three times. When you pay this cost one or more times, choose up to that many —\n• Destroy target artifact or enchantment.\n• Exile target player's graveyard.\n• You gain 4 life."
MAT,Tyvar the Bellicose,mythic,{2}{B}{G},"B, G",Creature,"Elf, Warrior",5,4,1,1,0,0,0,"Whenever one or more Elves you control attack, they gain deathtouch until end of turn.\nEach creature you control has ""Whenever a mana ability of this creature resolves, put a number of +1/+1 counters on it equal to the amount of mana this creature produced. This ability triggers only once each turn."""
MAT,Undercity Upheaval,uncommon,{1}{G}{G},G,Sorcery,0,0,0,2,0,2,0,0,"Undergrowth — Distribute X +1/+1 counters among any number of target creatures you control, where X is the number of creature cards in your graveyard as you cast this spell. Creatures you control gain vigilance until end of turn."
MAT,Urborg Scavengers,rare,{2}{B},B,Creature,Spirit,2,2,1,1,0,0,0,"Whenever Urborg Scavengers enters the battlefield or attacks, exile target card from a graveyard. Put a +1/+1 counter on Urborg Scavengers.\nUrborg Scavengers has flying as long as a card exiled with it has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance."
MAT,Vesuvan Drifter,rare,{2}{U},U,Creature,Shapeshifter,2,4,0,0,0,0,0,"Flying\nYou may look at the top card of your library any time.\nAt the beginning of each combat, you may reveal the top card of your library. If you reveal a creature card this way, Vesuvan Drifter becomes a copy of that card until end of turn, except it has flying."
