setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
RIX,Baffling End,uncommon,{1}{W},W,Enchantment,0,0,0,0,0,0,0,0,"When Baffling End enters the battlefield, exile target creature an opponent controls with mana value 3 or less.\nWhen Baffling End leaves the battlefield, target opponent creates a 3/3 green Dinosaur creature token with trample."
RIX,Bishop of Binding,rare,{3}{W},W,Creature,"Vampire, Cleric",1,1,0,0,0,0,0,"When Bishop of Binding enters the battlefield, exile target creature an opponent controls until Bishop of Binding leaves the battlefield.\nWhenever Bishop of Binding attacks, target Vampire gets +X/+X until end of turn, where X is the power of the exiled card."
RIX,Blazing Hope,uncommon,{W},W,Instant,0,0,0,0,0,0,0,0,Exile target creature with power greater than or equal to your life total.
RIX,Cleansing Ray,common,{1}{W},W,Sorcery,0,0,0,0,0,0,0,0,Choose one —\n• Destroy target Vampire.\n• Destroy target enchantment.
RIX,Divine Verdict,common,{3}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target attacking or blocking creature.
RIX,Everdawn Champion,uncommon,{1}{W}{W},W,Creature,"Human, Soldier",2,2,0,0,0,0,0,Prevent all combat damage that would be dealt to Everdawn Champion.
RIX,Exultant Skymarcher,common,{1}{W}{W},W,Creature,"Vampire, Soldier",2,3,0,0,0,0,0,Flying
RIX,Famished Paladin,uncommon,{1}{W},W,Creature,"Vampire, Knight",3,3,0,0,0,0,0,"Famished Paladin doesn't untap during your untap step.\nWhenever you gain life, untap Famished Paladin."
RIX,Forerunner of the Legion,uncommon,{2}{W},W,Creature,"Vampire, Knight",2,2,0,0,0,0,0,"When Forerunner of the Legion enters the battlefield, you may search your library for a Vampire card, reveal it, then shuffle and put that card on top.\nWhenever another Vampire enters the battlefield under your control, target creature gets +1/+1 until end of turn."
RIX,Imperial Ceratops,uncommon,{4}{W},W,Creature,Dinosaur,3,5,0,0,0,0,0,"Enrage — Whenever Imperial Ceratops is dealt damage, you gain 2 life."
RIX,Legion Conquistador,common,{2}{W},W,Creature,"Vampire, Soldier",2,2,0,0,0,0,0,"When Legion Conquistador enters the battlefield, you may search your library for any number of cards named Legion Conquistador, reveal them, put them into your hand, then shuffle."
RIX,Luminous Bonds,common,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature can't attack or block.
RIX,Majestic Heliopterus,uncommon,{3}{W},W,Creature,Dinosaur,2,2,0,0,0,0,0,"Flying\nWhenever Majestic Heliopterus attacks, another target Dinosaur you control gains flying until end of turn."
