Set,Card Name,Rarity,Mana Cost,color,Type,sub_type,Power,Toughness,quantity,nm,lp,p,f,Text
Gatecrash,Aerial Maneuver,Common,{1}{W},w,Instant,0,0,0,0,0,0,0,0,Target creature gets +1/+1 and gains flying and first strike until end of turn.
Gatecrash,Angelic Edict,Common,{4}{W},w,Sorcery,0,0,0,2,0,2,0,0,Exile target creature or enchantment.
Gatecrash,Angelic Skirmisher,Rare,{4}{W}{W},w,Creature,angel,4,4,0,0,0,0,0,"Flying
At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn."
Gatecrash,Assault Griffin,Common,{3}{W},w,Creature,griffin,3,2,2,0,2,0,0,Flying
Gatecrash,Basilica Guards,Common,{2}{W},w,Creature,"human, soldier",1,4,4,0,4,0,0,"Defender
Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)"
Gatecrash,Blind Obedience,Rare,{1}{W},w,Enchantment,0,0,0,0,0,0,0,0,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)
Artifacts and creatures your opponents control enter the battlefield tapped."
Gatecrash,Boros Elite,Uncommon,{W},w,Creature,"human, soldier",1,1,1,1,0,0,0,"Battalion â€” Whenever Boros Elite and at least two other creatures attack, Boros Elite gets +2/+2 until end of turn."
Gatecrash,Court Street Denizen,Common,{2}{W},w,Creature,"human, soldier",2,2,0,0,0,0,0,"Whenever another white creature enters the battlefield under your control, tap target creature an opponent controls."
Gatecrash,Daring Skyjek,Common,{1}{W},w,Creature,"human, knight",3,1,2,0,2,0,0,"Battalion â€” Whenever Daring Skyjek and at least two other creatures attack, Daring Skyjek gains flying until end of turn."
Gatecrash,Debtor's Pulpit,Uncommon,{4}{W},w,Enchantment,0,0,0,0,0,0,0,0,"Enchant land
Enchanted land has ""{T}: Tap target creature."""
Gatecrash,Dutiful Thrull,Common,{W},w,Creature,thrull,1,1,1,0,1,0,0,{B}: Regenerate Dutiful Thrull.
Gatecrash,Frontline Medic,Rare,{2}{W},w,Creature,"human, cleric",3,3,0,0,0,0,0,"Battalion â€” Whenever Frontline Medic and at least two other creatures attack, creatures you control gain indestructible until end of turn.
Sacrifice Frontline Medic: Counter target spell with {X} in its mana cost unless its controller pays {3}."
Gatecrash,"Gideon, Champion of Justice",Mythic Rare,{2}{W}{W},w,Planeswalker,gideon,0,0,0,0,0,0,0,"+1: Put a loyalty counter on Gideon, Champion of Justice for each creature target opponent controls.
0: Until end of turn, Gideon, Champion of Justice becomes a Human Soldier creature with power and toughness each equal to the number of loyalty counters on him and gains indestructible. He's still a planeswalker. Prevent all damage that would be dealt to him this turn.
âˆ’15: Exile all other permanents."
Gatecrash,Guardian of the Gateless,Uncommon,{4}{W},w,Creature,angel,3,3,0,0,0,0,0,"Flying
Guardian of the Gateless can block any number of creatures.
Whenever Guardian of the Gateless blocks, it gets +1/+1 until end of turn for each creature it's blocking."
