setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
10E,Ancestor's Chosen,uncommon,{5}{W}{W},W,Creature,"Human, Cleric",4,4,0,0,0,0,0,"First strike (This creature deals combat damage before creatures without first strike.)\nWhen Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard."
10E,Angel of Mercy,uncommon,{4}{W},W,Creature,Angel,3,3,0,0,0,0,0,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life."
10E,Angelic Blessing,common,{2}{W},W,Sorcery,0,0,0,0,0,0,0,0,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
10E,Angelic Chorus,rare,{3}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness."
10E,Angelic Wall,common,{1}{W},W,Creature,Wall,0,4,0,0,0,0,0,Defender (This creature can't attack.)\nFlying
10E,Aura of Silence,uncommon,{1}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,Artifact and enchantment spells your opponents cast cost {2} more to cast.\nSacrifice Aura of Silence: Destroy target artifact or enchantment.
10E,Aven Cloudchaser,common,{3}{W},W,Creature,"Bird, Soldier",2,2,0,0,0,0,0,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Cloudchaser enters the battlefield, destroy target enchantment."
10E,Ballista Squad,uncommon,{3}{W},W,Creature,"Human, Rebel",2,2,0,0,0,0,0,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature."
10E,Bandage,common,{W},W,Instant,0,0,0,0,0,0,0,0,Prevent the next 1 damage that would be dealt to any target this turn.\nDraw a card.
10E,Beacon of Immortality,rare,{5}{W},W,Instant,0,0,0,0,0,0,0,0,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.
10E,Benalish Knight,common,{2}{W},W,Creature,"Human, Knight",2,2,0,0,0,0,0,Flash (You may cast this spell any time you could cast an instant.)\nFirst strike (This creature deals combat damage before creatures without first strike.)
10E,"Cho-Manno, Revolutionary",rare,{2}{W}{W},W,Creature,"Human, Rebel",2,2,0,0,0,0,0,"Prevent all damage that would be dealt to Cho-Manno, Revolutionary."
10E,Condemn,uncommon,{W},W,Instant,0,0,0,0,0,0,0,0,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
10E,Demystify,common,{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target enchantment.
10E,Field Marshal,rare,{1}{W}{W},W,Creature,"Human, Soldier",2,2,0,0,0,0,0,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.)
10E,Ghost Warden,common,{1}{W},W,Creature,Spirit,1,1,0,0,0,0,0,{T}: Target creature gets +1/+1 until end of turn.
10E,Glorious Anthem,rare,{1}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,Creatures you control get +1/+1.
10E,Hail of Arrows,uncommon,{X}{W},W,Instant,0,0,0,0,0,0,0,0,Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.
10E,Heart of Light,common,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nPrevent all damage that would be dealt to and dealt by enchanted creature.
10E,High Ground,uncommon,{W},W,Enchantment,0,0,0,0,0,0,0,0,Each creature you control can block an additional creature each combat.
10E,Holy Day,common,{W},W,Instant,0,0,0,0,0,0,0,0,Prevent all combat damage that would be dealt this turn.
10E,Holy Strength,common,{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature gets +1/+2.
10E,Honor Guard,common,{W},W,Creature,"Human, Soldier",1,1,0,0,0,0,0,{W}: Honor Guard gets +0/+1 until end of turn.
10E,Icatian Priest,uncommon,{W},W,Creature,"Human, Cleric",1,1,0,0,0,0,0,{1}{W}{W}: Target creature gets +1/+1 until end of turn.
10E,Kjeldoran Royal Guard,rare,{3}{W}{W},W,Creature,"Human, Soldier",2,5,0,0,0,0,0,{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.
10E,Loxodon Mystic,common,{3}{W}{W},W,Creature,"Elephant, Cleric",3,3,0,0,0,0,0,"{W}, {T}: Tap target creature."
10E,Loyal Sentry,rare,{W},W,Creature,"Human, Soldier",1,1,0,0,0,0,0,"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry."
10E,Luminesce,uncommon,{W},W,Instant,0,0,0,0,0,0,0,0,Prevent all damage that black sources and red sources would deal this turn.
10E,Mobilization,rare,{2}{W},W,Enchantment,0,0,0,0,0,0,0,0,Soldier creatures have vigilance.\n{2}{W}: Create a 1/1 white Soldier creature token.
10E,Nomad Mythmaker,rare,{2}{W},W,Creature,"Human, Nomad, Cleric",2,2,0,0,0,0,0,"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control."
10E,Pacifism,common,{1}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature can't attack or block.
10E,Paladin en-Vec,rare,{1}{W}{W},W,Creature,"Human, Knight",2,2,0,0,0,0,0,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)"
10E,Pariah,rare,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nAll damage that would be dealt to you is dealt to enchanted creature instead.
10E,Reviving Dose,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,You gain 3 life.\nDraw a card.
