setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
WOE,Archon of the Wild Rose,rare,{2}{W}{W},W,Creature,Archon,4,4,0,0,0,0,0,Flying\nOther creatures you control that are enchanted by Auras you control have base power and toughness 4/4 and have flying.
WOE,Archon's Glory,common,{W},W,Instant,0,0,0,0,0,0,0,0,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)\nTarget creature gets +2/+2 until end of turn. If this spell was bargained, that creature also gains flying and lifelink until end of turn."
WOE,Armory Mice,common,{1}{W},W,Creature,Mouse,3,1,0,0,0,0,0,Celebration — Armory Mice gets +0/+2 as long as two or more nonland permanents entered the battlefield under your control this turn.
WOE,Besotted Knight // Betroth the Beast,common,{3}{W},W,Creature,"Human, Knight",3,3,0,0,0,0,0,0
WOE,Break the Spell,common,{W},W,Instant,0,0,0,0,0,0,0,0,"Destroy target enchantment. If a permanent you controlled or a token was destroyed this way, draw a card."
WOE,Charmed Clothier,common,{4}{W},W,Creature,"Faerie, Advisor",3,3,0,0,0,0,0,"Flying\nWhen Charmed Clothier enters the battlefield, create a Royal Role token attached to another target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ward {1}.)"
WOE,Cheeky House-Mouse // Squeak By,uncommon,{W},W,Creature,Mouse,2,1,0,0,0,0,0,0
WOE,Cooped Up,common,{1}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature can't attack or block.\n{2}{W}: Exile enchanted creature.
WOE,Cursed Courtier,uncommon,{2}{W},W,Creature,"Human, Noble",3,3,0,0,0,0,0,"Lifelink\nWhen Cursed Courtier enters the battlefield, create a Cursed Role token attached to it. (Enchanted creature is 1/1.)"
WOE,Discerning Financier,uncommon,{2}{W},W,Creature,"Human, Noble",2,3,0,0,0,0,0,"At the beginning of your upkeep, if an opponent controls more lands than you, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")\n{2}{W}: Choose another player. That player gains control of target Treasure you control. You draw a card."
