setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
AER,Aerial Modification,uncommon,{4}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature or Vehicle\nAs long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.\nEnchanted creature gets +2/+2 and has flying."
AER,Aeronaut Admiral,uncommon,{3}{W},W,Creature,"Human, Pilot",3,1,0,0,0,0,0,Flying\nVehicles you control have flying.
AER,Aether Inspector,common,{3}{W},W,Creature,"Dwarf, Artificer",2,3,0,0,0,0,0,"Vigilance\nWhen Aether Inspector enters the battlefield, you get {E}{E} (two energy counters).\nWhenever Aether Inspector attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token."
AER,Aethergeode Miner,rare,{1}{W},W,Creature,"Dwarf, Scout",3,1,0,0,0,0,0,"Whenever Aethergeode Miner attacks, you get {E}{E} (two energy counters).\nPay {E}{E}: Exile Aethergeode Miner, then return it to the battlefield under its owner's control."
AER,Airdrop Aeronauts,uncommon,{3}{W}{W},W,Creature,"Dwarf, Scout",4,3,0,0,0,0,0,"Flying\nRevolt — When Airdrop Aeronauts enters the battlefield, if a permanent you controlled left the battlefield this turn, you gain 5 life."
AER,Alley Evasion,common,{W},W,Instant,0,0,0,0,0,0,0,0,Choose one —\n• Target creature you control gets +1/+2 until end of turn.\n• Return target creature you control to its owner's hand.
AER,Audacious Infiltrator,common,{1}{W},W,Creature,"Dwarf, Rogue",3,1,0,0,0,0,0,Audacious Infiltrator can't be blocked by artifact creatures.
AER,Bastion Enforcer,common,{2}{W},W,Creature,"Dwarf, Soldier",3,2,0,0,0,0,0,0
AER,Call for Unity,rare,{3}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,"Revolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a unity counter on Call for Unity.\nCreatures you control get +1/+1 for each unity counter on Call for Unity."
AER,Caught in the Brights,common,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nEnchanted creature can't attack or block.\nWhen a Vehicle you control attacks, exile enchanted creature."
AER,Consulate Crackdown,rare,{3}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,"When Consulate Crackdown enters the battlefield, exile all artifacts your opponents control until Consulate Crackdown leaves the battlefield."
AER,Conviction,common,{1}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature gets +1/+3.\n{W}: Return Conviction to its owner's hand.
AER,Countless Gears Renegade,common,{1}{W},W,Creature,"Dwarf, Artificer",2,2,0,0,0,0,0,"Revolt — When Countless Gears Renegade enters the battlefield, if a permanent you controlled left the battlefield this turn, create a 1/1 colorless Servo artifact creature token."
AER,Dawnfeather Eagle,common,{4}{W},W,Creature,Bird,3,3,0,0,0,0,0,"Flying\nWhen Dawnfeather Eagle enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn."
AER,Dawnfeather Eagle,common,{4}{W},W,Creature,Bird,3,3,0,0,0,0,0,"Flying\nWhen Dawnfeather Eagle enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn."
AER,Deadeye Harpooner,uncommon,{2}{W},W,Creature,"Dwarf, Warrior",2,2,0,0,0,0,0,"Revolt — When Deadeye Harpooner enters the battlefield, if a permanent you controlled left the battlefield this turn, destroy target tapped creature an opponent controls."
AER,Decommission,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,"Destroy target artifact or enchantment.\nRevolt — If a permanent you controlled left the battlefield this turn, you gain 3 life."
AER,Deft Dismissal,uncommon,{3}{W},W,Instant,0,0,0,0,0,0,0,0,"Deft Dismissal deals 3 damage divided as you choose among one, two, or three target attacking or blocking creatures."
AER,Exquisite Archangel,mythic,{5}{W}{W},W,Creature,Angel,5,5,0,0,0,0,0,"Flying\nIf you would lose the game, instead exile Exquisite Archangel and your life total becomes equal to your starting life total."
AER,Felidar Guardian,uncommon,{3}{W},W,Creature,"Cat, Beast",1,4,0,0,0,0,0,"When Felidar Guardian enters the battlefield, you may exile another target permanent you control, then return that card to the battlefield under its owner's control."
AER,Ghirapur Osprey,common,{2}{W},W,Creature,Bird,2,2,0,0,0,0,0,Flying
AER,Restoration Specialist,uncommon,{1}{W},W,Creature,"Dwarf, Artificer",2,1,0,0,0,0,0,"{W}, Sacrifice Restoration Specialist: Return up to one target artifact card and up to one target enchantment card from your graveyard to your hand."
AER,Solemn Recruit,rare,{1}{W}{W},W,Creature,"Dwarf, Warrior",2,2,0,0,0,0,0,"Double strike\nRevolt — At the beginning of your end step, if a permanent you controlled left the battlefield this turn, put a +1/+1 counter on Solemn Recruit."
