setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
NEO,A-Ancestral Katana,common,{1}{W},W,Artifact,Equipment,0,0,0,0,0,0,0,"Whenever a Samurai or Warrior you control attacks alone, you may pay {1}. When you do, attach Ancestral Katana to it.\nEquipped creature gets +2/+2 and has ""This creature has first strike as long as it's attacking.""\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
NEO,Acquisition Octopus,uncommon,{2}{U},U,"Artifact, Creature","Equipment, Octopus",2,2,0,0,0,0,0,"Whenever Acquisition Octopus or equipped creature deals combat damage to a player, draw a card.\nReconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)"
NEO,A-Circuit Mender,uncommon,{3},0,"Artifact, Creature",Insect,2,3,0,0,0,0,0,"When Circuit Mender enters the battlefield, you gain 3 life.\nWhen Circuit Mender leaves the battlefield, draw a card."
NEO,A-Futurist Operative,uncommon,{U},U,Creature,"Human, Ninja",0,4,0,0,0,0,0,"As long as Futurist Operative is tapped, it's a Human Citizen with base power and toughness 1/1 and can't be blocked.\n{2}{U}: Untap Futurist Operative."
NEO,A-Moon-Circuit Hacker,common,{1}{U},U,"Enchantment, Creature","Human, Ninja",2,1,0,0,0,0,0,"Ninjutsu {U} ({U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever Moon-Circuit Hacker deals combat damage to a player, scry 2, then draw a card. Discard a card unless Moon-Circuit Hacker entered the battlefield this turn."
NEO,A-Akki Ronin,common,{R},R,Creature,"Goblin, Samurai",1,2,0,0,0,0,0,"Whenever a Samurai or Warrior you control attacks alone, you may put a card from your hand on the bottom of your library. If you do, draw a card."
NEO,Anchor to Reality,uncommon,{2}{U}{U},U,Sorcery,0,0,0,0,0,0,0,0,"As an additional cost to cast this spell, sacrifice an artifact or creature.\nSearch your library for an Equipment or Vehicle card, put that card onto the battlefield, then shuffle. If it has mana value less than the sacrificed permanent's mana value, scry 2."
NEO,A-Prosperous Thief,uncommon,{2}{U},U,Creature,"Human, Ninja",2,4,0,0,0,0,0,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever one or more Ninja or Rogue creatures you control deal combat damage to a player, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
NEO,Dokuchi Shadow-Walker,common,{4}{B}{B},B,Creature,"Ogre, Ninja",5,5,0,0,0,0,0,"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)"
NEO,"Junji, the Midnight Sky",mythic,{3}{B}{B},B,Creature,"Dragon, Spirit",5,5,0,0,0,0,0,"Flying, menace\nWhen Junji, the Midnight Sky dies, choose one —\n• Each opponent discards two cards and loses 2 life.\n• Put target non-Dragon creature card from a graveyard onto the battlefield under your control. You lose 2 life."
NEO,Azusa's Many Journeys // Likeness of the Seeker,uncommon,{1}{G},G,Enchantment,Saga,0,0,0,0,0,0,0,"(As this Saga enters and after your draw step, add a lore counter.)\nI — You may play an additional land this turn.\nII — You gain 3 life.\nIII — Exile this Saga, then return it to the battlefield transformed under your control."
NEO,Bamboo Grove Archer,common,{1}{G},G,"Enchantment, Creature","Snake, Archer",3,3,0,0,0,0,0,"Defender, reach\nChannel — {4}{G}, Discard Bamboo Grove Archer: Destroy target creature with flying."
NEO,Colossal Skyturtle,uncommon,{4}{G}{G}{U},"G, U","Enchantment, Creature",Turtle,6,5,0,0,0,0,0,"Flying, ward {2}\nChannel — {2}{G}, Discard Colossal Skyturtle: Return target card from your graveyard to your hand.\nChannel — {1}{U}, Discard Colossal Skyturtle: Return target creature to its owner's hand."
NEO,A-Eiganjo Exemplar,common,{W},W,"Enchantment, Creature","Human, Samurai",1,1,0,0,0,0,0,"Whenever a Samurai or Warrior you control attacks alone, it gets +1/+1 until end of turn."
NEO,A-Imperial Subduer,common,{1}{W},W,Creature,"Human, Samurai",3,1,0,0,0,0,0,"Whenever a Samurai or Warrior you control attacks alone, tap target creature you don't control."
NEO,Ancestral Katana,common,{1}{W},W,Artifact,Equipment,0,0,1,0,1,0,0,"Whenever a Samurai or Warrior you control attacks alone, you may pay {1}. When you do, attach Ancestral Katana to it.\nEquipped creature gets +2/+1.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
