setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
SOI,Always Watching,rare,{1}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,Nontoken creatures you control get +1/+1 and have vigilance.
SOI,Angel of Deliverance,rare,{6}{W}{W},W,Creature,Angel,6,6,0,0,0,0,0,"Flying\nDelirium — Whenever Angel of Deliverance deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls."
SOI,Angelic Purge,common,{2}{W},W,Sorcery,0,0,0,0,0,0,0,0,"As an additional cost to cast this spell, sacrifice a permanent.\nExile target artifact, creature, or enchantment."
SOI,Apothecary Geist,common,{3}{W},W,Creature,Spirit,2,3,0,0,0,0,0,"Flying\nWhen Apothecary Geist enters the battlefield, if you control another Spirit, you gain 3 life."
SOI,"Archangel Avacyn // Avacyn, the Purifier",mythic,{3}{W}{W},"R, W",Creature,Angel,4,4,0,0,0,0,0,"Flash\nFlying, vigilance\nWhen Archangel Avacyn enters the battlefield, creatures you control gain indestructible until end of turn.\nWhen a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep."
SOI,"Archangel Avacyn // Avacyn, the Purifier",mythic,0,"R, W",Creature,Angel,6,5,0,0,0,0,0,"Flying\nWhen this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent."
SOI,Avacynian Missionaries // Lunarch Inquisitors,uncommon,{3}{W},W,Creature,"Human, Cleric",3,3,0,0,0,0,0,"At the beginning of your end step, if Avacynian Missionaries is equipped, transform it."
SOI,Avacynian Missionaries // Lunarch Inquisitors,uncommon,0,W,Creature,"Human, Cleric",4,4,0,0,0,0,0,"When this creature transforms into Lunarch Inquisitors, you may exile another target creature until Lunarch Inquisitors leaves the battlefield."
SOI,Bound by Moonsilver,uncommon,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nEnchanted creature can't attack, block, or transform.\nSacrifice another permanent: Attach Bound by Moonsilver to target creature. Activate only as a sorcery and only once each turn."
SOI,Bygone Bishop,rare,{2}{W},W,Creature,"Spirit, Cleric",2,3,0,0,0,0,0,"Flying\nWhenever you cast a creature spell with mana value 3 or less, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
SOI,Cathar's Companion,common,{2}{W},W,Creature,Dog,3,1,0,0,0,0,0,"Whenever you cast a noncreature spell, Cathar's Companion gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
SOI,Chaplain's Blessing,common,{W},W,Sorcery,0,0,0,0,0,0,0,0,You gain 5 life.
SOI,Dauntless Cathar,common,{2}{W},W,Creature,"Human, Soldier",3,2,0,0,0,0,0,"{1}{W}, Exile Dauntless Cathar from your graveyard: Create a 1/1 white Spirit creature token with flying. Activate only as a sorcery."
SOI,Declaration in Stone,rare,{1}{W},W,Sorcery,0,0,0,0,0,0,0,0,Exile target creature and all other creatures its controller controls with the same name as that creature. That player investigates for each nontoken creature exiled this way.
SOI,Descend upon the Sinful,mythic,{4}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,Exile all creatures.\nDelirium — Create a 4/4 white Angel creature token with flying if there are four or more card types among cards in your graveyard.
SOI,Devilthorn Fox,common,{1}{W},W,Creature,Fox,3,1,0,0,0,0,0,0
SOI,Drogskol Cavalry,rare,{5}{W}{W},W,Creature,"Spirit, Knight",4,4,0,0,0,0,0,"Flying\nWhenever another Spirit enters the battlefield under your control, you gain 2 life.\n{3}{W}: Create a 1/1 white Spirit creature token with flying."
SOI,Eerie Interlude,rare,{2}{W},W,Instant,0,0,0,0,0,0,0,0,Exile any number of target creatures you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.
SOI,Emissary of the Sleepless,common,{4}{W},W,Creature,Spirit,2,4,0,0,0,0,0,"Flying\nWhen Emissary of the Sleepless enters the battlefield, if a creature died this turn, create a 1/1 white Spirit creature token with flying."
SOI,Ethereal Guidance,common,{2}{W},W,Sorcery,0,0,0,0,0,0,0,0,Creatures you control get +2/+1 until end of turn.
