,Name,Market Price,date
0,Abandon the Post,$0.02,2023-11-21
1,"Adeline, Resplendent Cathar",$7.10,2023-11-21
2,"Adeline, Resplendent Cathar (Showcase)",$5.80,2023-11-21
3,Ambitious Farmhand,$0.25,2023-11-21
4,Angelfire Ignition,$0.30,2023-11-21
5,Angelfire Ignition (Extended Art),$1.10,2023-11-21
6,Arcane Infusion,$0.05,2023-11-21
7,Ardent Elementalist,$0.11,2023-11-21
8,"Arlinn, the Pack's Hope",$2.03,2023-11-21
9,"Arlinn, the Pack's Hope (Borderless)",$2.55,2023-11-21
10,"Arlinn, the Pack's Hope (Showcase)",$6.00,2023-11-21
11,Arrogant Outlaw,$0.03,2023-11-21
12,Augur of Autumn,$2.77,2023-11-21
13,Augur of Autumn (Extended Art),$4.06,2023-11-21
14,Baithook Angler,$0.02,2023-11-21
15,Baneblade Scoundrel,$0.04,2023-11-21
16,Baneblade Scoundrel (Showcase),$0.04,2023-11-21
17,Bat Token,$0.20,2023-11-21
18,Bat Whisperer,$0.02,2023-11-21
19,Beast (008) // Spider (011) Double-sided Token,$0.11,2023-11-21
